"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"1",1,0,0,0,0,0,0,14
"2",1,0,0,0,0,0,0,6
"3",1,0,0,0,0,0,0,20
"4",1,0,0,0,0,0,0,68
"5",1,0,0,0,0,0,0,10
"6",1,0,0,0,0,0,0,33
"7",1,0,0,0,0,0,0,14
"8",1,0,0,0,0,0,0,6
"9",1,0,0,0,0,0,0,3
"10",1,0,0,0,0,0,0,5
"11",1,0,0,0,0,0,0,10
"12",1,0,0,0,0,0,0,1
"13",1,0,0,0,0,0,0,20
"14",1,0,0,0,0,0,0,68
"15",1,0,0,0,0,0,0,13
"16",1,0,0,0,0,0,0,30
"17",1,0,0,0,0,0,0,9
"18",1,0,0,0,0,0,0,14
"19",1,0,0,0,0,0,0,14
"20",1,0,0,0,0,0,0,6
"21",1,0,0,0,0,0,0,1
"22",1,0,0,0,0,0,0,3
"23",1,0,0,0,0,0,0,4
"24",1,0,0,0,0,0,0,2
"25",1,0,0,0,0,0,0,5
"26",1,0,0,0,0,0,0,5
"27",1,0,0,0,0,0,0,5
"28",1,0,0,0,0,0,0,1
"29",1,0,0,0,0,0,0,10
"30",1,0,0,0,0,0,0,33
"31",1,0,0,0,0,0,0,1
"32",1,0,0,0,0,0,0,2
"33",1,0,0,0,0,0,0,2
"34",1,0,0,0,0,0,0,13
"35",1,0,0,0,0,0,0,3
"36",1,0,0,0,0,0,0,1
"37",1,0,0,0,0,0,0,21
"38",1,0,0,0,0,0,0,1
"39",1,0,0,0,0,0,0,20
"40",1,0,0,0,0,0,0,16
"41",1,0,0,0,0,0,0,4
"42",1,0,0,0,0,0,0,13
"43",1,0,0,0,0,0,0,3
"44",1,0,0,0,0,0,0,4
"45",1,0,0,0,0,0,0,6
"46",1,0,0,0,0,0,0,68
"47",1,0,0,0,0,0,0,13
"48",1,0,0,0,0,0,0,2
"49",1,0,0,0,0,0,0,14
"50",1,0,0,0,0,0,0,4
"51",1,0,0,0,0,0,0,2
"52",1,0,0,0,0,0,0,13
"53",1,0,0,0,0,0,0,5
"54",1,0,0,0,0,0,0,14
"55",1,0,0,0,0,0,0,9
"56",1,0,0,0,0,0,0,3
"57",1,0,0,0,0,0,0,4
"58",1,0,0,0,0,0,0,2
"59",1,0,0,0,0,0,0,1
"60",1,0,0,0,0,0,0,3
"61",1,0,0,0,0,0,0,7
"62",1,0,0,0,0,0,0,3
"63",1,0,0,0,0,0,0,8
"64",1,0,0,0,0,0,0,30
"65",1,0,0,0,0,0,0,8
"66",1,0,0,0,0,0,0,30
"67",1,0,0,0,0,0,0,2
"68",1,0,0,0,0,0,0,2
"69",1,0,0,0,0,0,0,15
"70",1,0,0,0,0,0,0,20
"71",1,0,0,0,0,0,0,1
"72",1,0,0,0,0,0,0,6
"73",1,0,0,0,0,0,0,5
"74",1,0,0,0,0,0,0,2
"75",1,0,0,0,0,0,0,4
"76",1,0,0,0,0,0,0,7
"77",1,0,0,0,0,0,0,7
"78",1,0,0,0,0,0,0,3
"79",1,0,0,0,0,0,0,5
"80",1,0,0,0,0,0,0,2
"81",1,0,0,0,0,0,0,4
"82",1,0,0,0,0,0,0,2
"83",1,0,0,0,0,0,0,3
"84",1,0,0,0,0,0,0,2
"85",1,0,0,0,0,0,0,1
"86",1,0,0,0,0,0,0,32
"87",1,0,0,0,0,0,0,3
"88",1,0,0,0,0,0,0,1
"89",1,0,0,0,0,0,0,21
