"","Intentional injury by other person","Injury by person-unintentional or intent unknown","Animal and insect related incidents","Violence and other injuries by persons or animal","Roadway incidents involving motorized land vehicles","Transportation incidents","Fires and explosions","Slips, trips without fall","Fall on same level","Fall to lower level","Falls, slips, trips","Exposure to harmful substances or enviroments","Struck by object or equipment","Struck against object or equipment","Caught in or compressed by object or equipment","Contact with object, equipment","Repetitive motion involving microtasks","Overexertion in lifting or lowering","Overexertion and bodily reaction","all other","value"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"32",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"35",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"37",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"40",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"41",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"46",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"48",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
