"","Female","Male","Not reported","value"
"1",1,0,0,3
"2",1,0,0,13
"3",1,0,0,6
"4",1,0,0,3
"5",1,0,0,1
"6",1,0,0,4
"7",1,0,0,5
"8",1,0,0,11
"9",1,0,0,14
"10",1,0,0,10
"11",1,0,0,15
"12",1,0,0,6
"13",1,0,0,2
"14",1,0,0,4
"15",1,0,0,10
"16",1,0,0,5
"17",1,0,0,3
"18",1,0,0,6
"19",1,0,0,10
"20",1,0,0,6
"21",1,0,0,4
"22",1,0,0,5
"23",1,0,0,9
"24",1,0,0,6
"25",1,0,0,2
"26",1,0,0,5
"27",1,0,0,7
"28",1,0,0,4
"29",1,0,0,7
"30",1,0,0,3
"31",1,0,0,5
"32",1,0,0,21
"33",1,0,0,4
"34",1,0,0,2
"35",1,0,0,9
"36",1,0,0,6
"37",1,0,0,7
"38",1,0,0,12
"39",1,0,0,10
"40",1,0,0,12
"41",1,0,0,10
"42",1,0,0,20
"43",1,0,0,7
"44",1,0,0,41
"45",1,0,0,9
"46",1,0,0,6
"47",1,0,0,9
"48",1,0,0,3
"49",1,0,0,13
"50",1,0,0,6
"51",1,0,0,3
"52",1,0,0,1
"53",1,0,0,4
"54",1,0,0,5
"55",1,0,0,10
"56",1,0,0,14
"57",1,0,0,6
"58",1,0,0,6
"59",1,0,0,8
"60",1,0,0,4
"61",1,0,0,3
"62",1,0,0,20
"63",1,0,0,3
"64",1,0,0,11
"65",1,0,0,15
"66",1,0,0,5
"67",1,0,0,2
"68",1,0,0,4
"69",1,0,0,10
"70",1,0,0,14
"71",1,0,0,3
"72",1,0,0,5
"73",1,0,0,5
"74",1,0,0,10
"75",1,0,0,10
"76",1,0,0,7
"77",1,0,0,8
"78",1,0,0,5
"79",1,0,0,3
"80",1,0,0,5
"81",1,0,0,7
"82",1,0,0,7
"83",1,0,0,7
"84",1,0,0,6
"85",1,0,0,7
"86",1,0,0,10
"87",1,0,0,8
"88",1,0,0,13
"89",1,0,0,8
"90",1,0,0,3
"91",1,0,0,5
"92",1,0,0,29
"93",1,0,0,8
"94",1,0,0,8
"95",1,0,0,7
"96",1,0,0,10
"97",1,0,0,9
"98",1,0,0,6
"99",1,0,0,2
"100",1,0,0,5
"101",1,0,0,7
"102",1,0,0,5
"103",1,0,0,8
"104",1,0,0,12
"105",1,0,0,3
"106",1,0,0,5
"107",1,0,0,21
"108",1,0,0,7
"109",1,0,0,21
"110",1,0,0,7
"111",1,0,0,3
"112",1,0,0,5
"113",1,0,0,3
"114",1,0,0,5
"115",1,0,0,5
"116",1,0,0,7
"117",1,0,0,119
"118",1,0,0,1
"119",1,0,0,6
"120",1,0,0,14
"121",1,0,0,3
"122",1,0,0,13
"123",1,0,0,6
"124",1,0,0,3
"125",1,0,0,7
"126",1,0,0,12
"127",1,0,0,5
"128",1,0,0,3
"129",1,0,0,1
"130",1,0,0,4
"131",1,0,0,5
"132",1,0,0,16
"133",1,0,0,19
"134",1,0,0,18
"135",1,0,0,11
"136",1,0,0,12
"137",1,0,0,5
"138",1,0,0,19
"139",1,0,0,6
"140",1,0,0,12
"141",1,0,0,2
"142",1,0,0,5
"143",1,0,0,48
"144",1,0,0,6
"145",1,0,0,6
"146",1,0,0,8
"147",1,0,0,7
"148",1,0,0,7
"149",1,0,0,4
"150",1,0,0,3
"151",1,0,0,20
"152",1,0,0,3
"153",1,0,0,7
"154",1,0,0,8
"155",1,0,0,9
"156",1,0,0,10
"157",1,0,0,11
"158",1,0,0,13
"159",1,0,0,12
"160",1,0,0,9
"161",1,0,0,10
"162",1,0,0,23
"163",1,0,0,3
"164",1,0,0,7
"165",1,0,0,3
"166",1,0,0,1
"167",1,0,0,4
"168",1,0,0,2
"169",1,0,0,4
"170",1,0,0,8
"171",1,0,0,4
"172",1,0,0,34
"173",1,0,0,13
"174",1,0,0,16
"175",1,0,0,3
"176",1,0,0,2
"177",1,0,0,4
"178",1,0,0,3
"179",1,0,0,4
"180",1,0,0,11
"181",1,0,0,15
"182",1,0,0,7
"183",1,0,0,5
"184",1,0,0,3
"185",1,0,0,4
"186",1,0,0,10
"187",1,0,0,5
"188",1,0,0,3
"189",1,0,0,6
"190",1,0,0,5
"191",1,0,0,10
"192",1,0,0,6
"193",1,0,0,3
"194",1,0,0,4
"195",1,0,0,14
"196",1,0,0,10
"197",1,0,0,10
"198",1,0,0,7
"199",1,0,0,12
"200",1,0,0,12
"201",1,0,0,7
"202",1,0,0,5
"203",1,0,0,4
"204",1,0,0,3
"205",1,0,0,6
"206",1,0,0,5
"207",1,0,0,4
"208",1,0,0,6
"209",1,0,0,3
"210",1,0,0,3
"211",1,0,0,2
"212",1,0,0,3
"213",1,0,0,5
"214",1,0,0,7
"215",1,0,0,7
"216",1,0,0,7
"217",1,0,0,4
"218",1,0,0,4
"219",1,0,0,7
"220",1,0,0,5
"221",1,0,0,7
"222",1,0,0,14
"223",1,0,0,8
"224",1,0,0,6
"225",1,0,0,7
"226",1,0,0,10
"227",1,0,0,8
"228",1,0,0,12
"229",1,0,0,13
"230",1,0,0,9
"231",1,0,0,4
"232",1,0,0,3
"233",1,0,0,9
"234",1,0,0,25
"235",1,0,0,5
"236",1,0,0,19
"237",1,0,0,8
"238",1,0,0,9
"239",1,0,0,16
"240",1,0,0,14
"241",1,0,0,26
"242",1,0,0,29
"243",1,0,0,26
"244",1,0,0,4
"245",1,0,0,8
"246",1,0,0,3
"247",1,0,0,4
"248",1,0,0,1
"249",1,0,0,3
"250",1,0,0,1
"251",1,0,0,35
"252",1,0,0,5
"253",1,0,0,4
"254",1,0,0,9
"255",1,0,0,3
"256",1,0,0,4
"257",1,0,0,6
"258",1,0,0,10
"259",1,0,0,2
"260",1,0,0,10
"261",1,0,0,11
"262",1,0,0,29
"263",1,0,0,8
"264",1,0,0,8
"265",1,0,0,7
"266",1,0,0,10
"267",1,0,0,3
"268",1,0,0,2
"269",1,0,0,7
"270",1,0,0,7
"271",1,0,0,2
"272",1,0,0,4
"273",1,0,0,3
"274",1,0,0,21
"275",1,0,0,9
"276",1,0,0,6
"277",1,0,0,2
"278",1,0,0,4
"279",1,0,0,7
"280",1,0,0,12
"281",1,0,0,6
"282",1,0,0,14
"283",1,0,0,5
"284",1,0,0,8
"285",1,0,0,31
"286",1,0,0,5
"287",1,0,0,6
"288",1,0,0,21
"289",1,0,0,4
"290",1,0,0,4
"291",1,0,0,5
"292",1,0,0,4
"293",1,0,0,5
"294",1,0,0,6
"295",1,0,0,5
"296",1,0,0,7
"297",1,0,0,7
"298",1,0,0,5
"299",1,0,0,7
"300",1,0,0,4
"301",1,0,0,2
"302",1,0,0,18
"303",1,0,0,3
"304",1,0,0,7
"305",1,0,0,5
"306",1,0,0,5
"307",1,0,0,4
"308",1,0,0,7
"309",1,0,0,7
"310",1,0,0,3
"311",1,0,0,5
"312",1,0,0,7
"313",1,0,0,24
"314",1,0,0,3
"315",1,0,0,7
"316",1,0,0,18
"317",1,0,0,11
"318",1,0,0,7
"319",1,0,0,3
"320",1,0,0,5
"321",1,0,0,3
"322",1,0,0,5
"323",1,0,0,5
"324",1,0,0,50
"325",1,0,0,2
"326",1,0,0,4
"327",1,0,0,5
"328",1,0,0,4
"329",1,0,0,3
"330",1,0,0,5
"331",1,0,0,1
"332",1,0,0,40
"333",1,0,0,2
"334",1,0,0,3
"335",1,0,0,7
"336",1,0,0,3
