"","<3 mos.","3-11 mos.","1-5 yrs.","5 yrs.","Not reported","value"
"1",1,0,0,0,0,3
"2",1,0,0,0,0,38
"3",1,0,0,0,0,2
"4",1,0,0,0,0,3
"5",1,0,0,0,0,12
"6",1,0,0,0,0,11
"7",1,0,0,0,0,2
"8",1,0,0,0,0,2
"9",1,0,0,0,0,3
"10",1,0,0,0,0,8
"11",1,0,0,0,0,18
"12",1,0,0,0,0,1
"13",1,0,0,0,0,1
"14",1,0,0,0,0,7
"15",1,0,0,0,0,6
"16",1,0,0,0,0,1
"17",1,0,0,0,0,3
"18",1,0,0,0,0,2
"19",1,0,0,0,0,3
"20",1,0,0,0,0,2
"21",1,0,0,0,0,2
"22",1,0,0,0,0,18
"23",1,0,0,0,0,7
"24",1,0,0,0,0,4
"25",1,0,0,0,0,8
"26",1,0,0,0,0,8
"27",1,0,0,0,0,10
"28",1,0,0,0,0,1
"29",1,0,0,0,0,2
"30",1,0,0,0,0,3
"31",1,0,0,0,0,38
"32",1,0,0,0,0,2
"33",1,0,0,0,0,3
"34",1,0,0,0,0,12
"35",1,0,0,0,0,11
"36",1,0,0,0,0,22
"37",1,0,0,0,0,9
"38",1,0,0,0,0,8
"39",1,0,0,0,0,3
"40",1,0,0,0,0,2
"41",1,0,0,0,0,7
"42",1,0,0,0,0,2
"43",1,0,0,0,0,3
"44",1,0,0,0,0,8
"45",1,0,0,0,0,1
"46",1,0,0,0,0,4
"47",1,0,0,0,0,6
"48",1,0,0,0,0,7
"49",1,0,0,0,0,18
"50",1,0,0,0,0,51
"51",1,0,0,0,0,2
"52",1,0,0,0,0,12
"53",1,0,0,0,0,7
"54",1,0,0,0,0,3
"55",1,0,0,0,0,7
"56",1,0,0,0,0,3
"57",1,0,0,0,0,8
"58",1,0,0,0,0,4
"59",1,0,0,0,0,40
"60",1,0,0,0,0,10
"61",1,0,0,0,0,2
"62",1,0,0,0,0,6
"63",1,0,0,0,0,21
"64",1,0,0,0,0,7
"65",1,0,0,0,0,6
"66",1,0,0,0,0,1
"67",1,0,0,0,0,3
"68",1,0,0,0,0,2
"69",1,0,0,0,0,14
"70",1,0,0,0,0,8
"71",1,0,0,0,0,3
"72",1,0,0,0,0,2
"73",1,0,0,0,0,2
"74",1,0,0,0,0,18
"75",1,0,0,0,0,3
"76",1,0,0,0,0,21
"77",1,0,0,0,0,5
"78",1,0,0,0,0,1
"79",1,0,0,0,0,2
"80",1,0,0,0,0,5
"81",1,0,0,0,0,1
"82",1,0,0,0,0,3
"83",1,0,0,0,0,3
"84",1,0,0,0,0,38
"85",1,0,0,0,0,3
"86",1,0,0,0,0,7
"87",1,0,0,0,0,30
"88",1,0,0,0,0,6
"89",1,0,0,0,0,1
"90",1,0,0,0,0,4
"91",1,0,0,0,0,40
"92",1,0,0,0,0,7
"93",1,0,0,0,0,22
"94",1,0,0,0,0,11
"95",1,0,0,0,0,11
"96",1,0,0,0,0,1
"97",1,0,0,0,0,5
"98",1,0,0,0,0,7
"99",1,0,0,0,0,22
"100",1,0,0,0,0,9
"101",1,0,0,0,0,8
"102",1,0,0,0,0,3
"103",1,0,0,0,0,7
"104",1,0,0,0,0,8
"105",1,0,0,0,0,5
"106",1,0,0,0,0,58
"107",1,0,0,0,0,3
"108",1,0,0,0,0,4
"109",1,0,0,0,0,1
"110",1,0,0,0,0,3
"111",1,0,0,0,0,31
"112",1,0,0,0,0,2
"113",1,0,0,0,0,21
"114",1,0,0,0,0,2
"115",1,0,0,0,0,42
"116",1,0,0,0,0,2
"117",1,0,0,0,0,4
"118",1,0,0,0,0,2
"119",1,0,0,0,0,3
"120",1,0,0,0,0,2
"121",1,0,0,0,0,7
"122",1,0,0,0,0,2
"123",1,0,0,0,0,2
"124",1,0,0,0,0,8
"125",1,0,0,0,0,2
"126",1,0,0,0,0,1
"127",1,0,0,0,0,4
"128",1,0,0,0,0,18
"129",1,0,0,0,0,2
"130",1,0,0,0,0,4
"131",1,0,0,0,0,60
"132",1,0,0,0,0,4
"133",1,0,0,0,0,6
"134",1,0,0,0,0,3
"135",1,0,0,0,0,4
"136",1,0,0,0,0,4
"137",1,0,0,0,0,2
"138",1,0,0,0,0,5
"139",1,0,0,0,0,5
"140",1,0,0,0,0,2
"141",1,0,0,0,0,11
"142",1,0,0,0,0,6
"143",1,0,0,0,0,39
"144",1,0,0,0,0,38
"145",1,0,0,0,0,3
"146",1,0,0,0,0,2
"147",1,0,0,0,0,12
"148",1,0,0,0,0,7
"149",1,0,0,0,0,3
"150",1,0,0,0,0,5
"151",1,0,0,0,0,4
"152",1,0,0,0,0,80
"153",1,0,0,0,0,7
"154",1,0,0,0,0,7
"155",1,0,0,0,0,3
"156",1,0,0,0,0,8
"157",1,0,0,0,0,4
"158",1,0,0,0,0,10
"159",1,0,0,0,0,40
"160",1,0,0,0,0,10
"161",1,0,0,0,0,2
"162",1,0,0,0,0,6
"163",1,0,0,0,0,60
"164",1,0,0,0,0,5
"165",1,0,0,0,0,15
"166",1,0,0,0,0,10
"167",1,0,0,0,0,6
"168",1,0,0,0,0,6
"169",1,0,0,0,0,5
"170",1,0,0,0,0,7
"171",1,0,0,0,0,16
"172",1,0,0,0,0,5
"173",1,0,0,0,0,2
"174",1,0,0,0,0,1
"175",1,0,0,0,0,3
"176",1,0,0,0,0,5
"177",1,0,0,0,0,5
"178",1,0,0,0,0,13
"179",1,0,0,0,0,2
"180",1,0,0,0,0,84
"181",1,0,0,0,0,11
"182",1,0,0,0,0,36
"183",1,0,0,0,0,2
"184",1,0,0,0,0,3
"185",1,0,0,0,0,4
"186",1,0,0,0,0,21
"187",1,0,0,0,0,16
"188",1,0,0,0,0,11
"189",1,0,0,0,0,2
"190",1,0,0,0,0,2
"191",1,0,0,0,0,5
"192",1,0,0,0,0,2
"193",1,0,0,0,0,7
"194",1,0,0,0,0,21
"195",1,0,0,0,0,1
"196",1,0,0,0,0,3
"197",1,0,0,0,0,2
"198",1,0,0,0,0,5
"199",1,0,0,0,0,3
"200",1,0,0,0,0,20
"201",1,0,0,0,0,9
"202",1,0,0,0,0,9
"203",1,0,0,0,0,4
"204",1,0,0,0,0,6
"205",1,0,0,0,0,4
"206",1,0,0,0,0,4
"207",1,0,0,0,0,12
"208",1,0,0,0,0,3
"209",1,0,0,0,0,2
"210",1,0,0,0,0,4
"211",1,0,0,0,0,5
"212",1,0,0,0,0,7
"213",1,0,0,0,0,20
"214",1,0,0,0,0,3
"215",1,0,0,0,0,10
"216",1,0,0,0,0,6
"217",1,0,0,0,0,4
"218",1,0,0,0,0,14
"219",1,0,0,0,0,2
"220",1,0,0,0,0,4
"221",1,0,0,0,0,2
"222",1,0,0,0,0,2
"223",1,0,0,0,0,2
"224",1,0,0,0,0,24
"225",1,0,0,0,0,4
"226",1,0,0,0,0,2
"227",1,0,0,0,0,10
"228",1,0,0,0,0,14
"229",1,0,0,0,0,4
"230",1,0,0,0,0,1
"231",1,0,0,0,0,2
"232",1,0,0,0,0,5
"233",1,0,0,0,0,7
"234",1,0,0,0,0,2
"235",1,0,0,0,0,10
"236",1,0,0,0,0,5
"237",1,0,0,0,0,2
"238",1,0,0,0,0,1
"239",1,0,0,0,0,5
"240",1,0,0,0,0,6
"241",1,0,0,0,0,21
"242",1,0,0,0,0,4
"243",1,0,0,0,0,29
"244",1,0,0,0,0,13
"245",1,0,0,0,0,6
"246",1,0,0,0,0,2
"247",1,0,0,0,0,4
"248",1,0,0,0,0,7
"249",1,0,0,0,0,5
"250",1,0,0,0,0,8
"251",1,0,0,0,0,8
"252",1,0,0,0,0,3
"253",1,0,0,0,0,7
"254",1,0,0,0,0,3
"255",1,0,0,0,0,4
"256",1,0,0,0,0,4
"257",1,0,0,0,0,4
"258",1,0,0,0,0,10
"259",1,0,0,0,0,3
"260",1,0,0,0,0,1
"261",1,0,0,0,0,14
"262",1,0,0,0,0,26
"263",1,0,0,0,0,7
"264",1,0,0,0,0,37
"265",1,0,0,0,0,93
"266",1,0,0,0,0,10
"267",1,0,0,0,0,4
"268",1,0,0,0,0,30
"269",1,0,0,0,0,2
"270",1,0,0,0,0,53
"271",1,0,0,0,0,7
"272",1,0,0,0,0,19
"273",1,0,0,0,0,2
"274",1,0,0,0,0,3
"275",1,0,0,0,0,15
"276",1,0,0,0,0,4
"277",1,0,0,0,0,2
"278",1,0,0,0,0,7
"279",1,0,0,0,0,3
"280",1,0,0,0,0,11
"281",1,0,0,0,0,21
"282",1,0,0,0,0,1
"283",1,0,0,0,0,2
"284",1,0,0,0,0,14
"285",1,0,0,0,0,1
"286",1,0,0,0,0,2
"287",1,0,0,0,0,8
"288",1,0,0,0,0,10
"289",1,0,0,0,0,7
"290",1,0,0,0,0,37
"291",1,0,0,0,0,5
"292",1,0,0,0,0,3
"293",1,0,0,0,0,4
"294",1,0,0,0,0,1
"295",1,0,0,0,0,19
"296",1,0,0,0,0,30
"297",1,0,0,0,0,3
"298",1,0,0,0,0,8
"299",1,0,0,0,0,2
"300",1,0,0,0,0,27
"301",1,0,0,0,0,5
"302",1,0,0,0,0,7
"303",1,0,0,0,0,21
"304",1,0,0,0,0,3
"305",1,0,0,0,0,14
"306",1,0,0,0,0,4
"307",1,0,0,0,0,2
"308",1,0,0,0,0,3
"309",1,0,0,0,0,2
"310",1,0,0,0,0,12
"311",1,0,0,0,0,2
"312",1,0,0,0,0,3
"313",1,0,0,0,0,2
"314",1,0,0,0,0,5
"315",1,0,0,0,0,3
"316",1,0,0,0,0,5
"317",1,0,0,0,0,3
"318",1,0,0,0,0,5
"319",1,0,0,0,0,2
"320",1,0,0,0,0,4
"321",1,0,0,0,0,2
"322",1,0,0,0,0,30
"323",1,0,0,0,0,7
"324",1,0,0,0,0,77
"325",1,0,0,0,0,9
"326",1,0,0,0,0,2
"327",1,0,0,0,0,5
"328",1,0,0,0,0,3
"329",1,0,0,0,0,5
"330",1,0,0,0,0,3
"331",1,0,0,0,0,3
"332",1,0,0,0,0,4
"333",1,0,0,0,0,11
"334",1,0,0,0,0,6
"335",1,0,0,0,0,8
"336",1,0,0,0,0,3
