"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"32",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"35",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"37",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"40",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"41",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"46",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"48",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
