"","Management, Business, and Financial Occupations (11-13)","Education, Legal, Community Service, Arts, and Media Occupations (21-27)","Healthcare Practitioners and Technical Occupations (29)","Service Occupations (31-39)","Sales and Related Occupations","Office and Administrative Support Occupations","Construction and Extraction Occupations","Installation, Maintenance, and Repair Occupations","Production Occupations","Transportation and Material Moving Occupations","value"
"1",1,0,0,0,0,0,0,0,0,0,8
"2",1,0,0,0,0,0,0,0,0,0,60
"3",1,0,0,0,0,0,0,0,0,0,2
"4",1,0,0,0,0,0,0,0,0,0,21
"5",1,0,0,0,0,0,0,0,0,0,7
"6",1,0,0,0,0,0,0,0,0,0,28
"7",1,0,0,0,0,0,0,0,0,0,6
"8",1,0,0,0,0,0,0,0,0,0,60
"9",1,0,0,0,0,0,0,0,0,0,20
"10",1,0,0,0,0,0,0,0,0,0,2
"11",1,0,0,0,0,0,0,0,0,0,1
"12",1,0,0,0,0,0,0,0,0,0,21
"13",1,0,0,0,0,0,0,0,0,0,3
"14",1,0,0,0,0,0,0,0,0,0,10
"15",1,0,0,0,0,0,0,0,0,0,2
"16",1,0,0,0,0,0,0,0,0,0,5
"17",1,0,0,0,0,0,0,0,0,0,59
"18",1,0,0,0,0,0,0,0,0,0,32
"19",1,0,0,0,0,0,0,0,0,0,15
"20",1,0,0,0,0,0,0,0,0,0,6
"21",1,0,0,0,0,0,0,0,0,0,60
"22",1,0,0,0,0,0,0,0,0,0,3
"23",1,0,0,0,0,0,0,0,0,0,20
"24",1,0,0,0,0,0,0,0,0,0,3
"25",1,0,0,0,0,0,0,0,0,0,24
"26",1,0,0,0,0,0,0,0,0,0,3
"27",1,0,0,0,0,0,0,0,0,0,13
"28",1,0,0,0,0,0,0,0,0,0,5
"29",1,0,0,0,0,0,0,0,0,0,70
"30",1,0,0,0,0,0,0,0,0,0,2
"31",1,0,0,0,0,0,0,0,0,0,12
"32",1,0,0,0,0,0,0,0,0,0,2
"33",1,0,0,0,0,0,0,0,0,0,1
"34",1,0,0,0,0,0,0,0,0,0,21
"35",1,0,0,0,0,0,0,0,0,0,3
"36",1,0,0,0,0,0,0,0,0,0,28
"37",1,0,0,0,0,0,0,0,0,0,10
"38",1,0,0,0,0,0,0,0,0,0,13
"39",1,0,0,0,0,0,0,0,0,0,5
"40",1,0,0,0,0,0,0,0,0,0,2
"41",1,0,0,0,0,0,0,0,0,0,99
"42",1,0,0,0,0,0,0,0,0,0,3
"43",1,0,0,0,0,0,0,0,0,0,10
"44",1,0,0,0,0,0,0,0,0,0,21
"45",1,0,0,0,0,0,0,0,0,0,5
"46",1,0,0,0,0,0,0,0,0,0,2
