"","Eye","Head","Neck","Back","Trunk","Shoulder","Arm","Wrist","Hand(s)","Hand(s), except finger(s)","Finger(s), fingernail(s)","Upper extremities","Knee","Ankle","Foot","Toe, toenail","Lower extremities","Body systems","Multiple","all other","value"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
