"","American Indian or Alaska native","Asian","Black or African American","Hispanic or Latino","Native Hawaiian or Other Pacific Islander","White","Not reported","Multi-race","Hispanic and other","value"
"1",1,0,0,0,0,0,0,0,0,5
"2",1,0,0,0,0,0,0,0,0,2
"3",1,0,0,0,0,0,0,0,0,5
"4",1,0,0,0,0,0,0,0,0,1
"5",1,0,0,0,0,0,0,0,0,14
"6",1,0,0,0,0,0,0,0,0,24
"7",1,0,0,0,0,0,0,0,0,22
"8",1,0,0,0,0,0,0,0,0,4
"9",1,0,0,0,0,0,0,0,0,17
"10",1,0,0,0,0,0,0,0,0,34
"11",1,0,0,0,0,0,0,0,0,1
"12",1,0,0,0,0,0,0,0,0,4
"13",1,0,0,0,0,0,0,0,0,4
"14",1,0,0,0,0,0,0,0,0,1
"15",1,0,0,0,0,0,0,0,0,9
"16",1,0,0,0,0,0,0,0,0,14
"17",1,0,0,0,0,0,0,0,0,1
"18",1,0,0,0,0,0,0,0,0,1
"19",1,0,0,0,0,0,0,0,0,4
"20",1,0,0,0,0,0,0,0,0,6
"21",0,1,0,0,0,0,0,0,0,3
"22",0,1,0,0,0,0,0,0,0,17
"23",0,1,0,0,0,0,0,0,0,14
"24",0,1,0,0,0,0,0,0,0,6
"25",0,1,0,0,0,0,0,0,0,18
"26",0,1,0,0,0,0,0,0,0,9
"27",0,1,0,0,0,0,0,0,0,179
"28",0,1,0,0,0,0,0,0,0,2
"29",0,1,0,0,0,0,0,0,0,10
"30",0,1,0,0,0,0,0,0,0,3
"31",0,1,0,0,0,0,0,0,0,17
"32",0,1,0,0,0,0,0,0,0,14
"33",0,1,0,0,0,0,0,0,0,3
"34",0,1,0,0,0,0,0,0,0,5
"35",0,1,0,0,0,0,0,0,0,10
"36",0,1,0,0,0,0,0,0,0,6
"37",0,1,0,0,0,0,0,0,0,3
"38",0,1,0,0,0,0,0,0,0,3
"39",0,1,0,0,0,0,0,0,0,12
"40",0,1,0,0,0,0,0,0,0,9
"41",0,1,0,0,0,0,0,0,0,60
"42",0,1,0,0,0,0,0,0,0,10
"43",0,1,0,0,0,0,0,0,0,3
"44",0,1,0,0,0,0,0,0,0,8
"45",0,1,0,0,0,0,0,0,0,3
"46",0,1,0,0,0,0,0,0,0,5
"47",0,1,0,0,0,0,0,0,0,3
"48",0,1,0,0,0,0,0,0,0,6
"49",0,1,0,0,0,0,0,0,0,6
"50",0,1,0,0,0,0,0,0,0,3
"51",0,1,0,0,0,0,0,0,0,12
"52",0,1,0,0,0,0,0,0,0,24
"53",0,1,0,0,0,0,0,0,0,18
"54",0,1,0,0,0,0,0,0,0,17
"55",0,1,0,0,0,0,0,0,0,14
"56",0,1,0,0,0,0,0,0,0,3
"57",0,1,0,0,0,0,0,0,0,5
"58",0,1,0,0,0,0,0,0,0,10
"59",0,1,0,0,0,0,0,0,0,6
"60",0,1,0,0,0,0,0,0,0,8
"61",0,1,0,0,0,0,0,0,0,5
"62",0,1,0,0,0,0,0,0,0,8
"63",0,1,0,0,0,0,0,0,0,9
"64",0,1,0,0,0,0,0,0,0,7
"65",0,1,0,0,0,0,0,0,0,6
"66",0,1,0,0,0,0,0,0,0,4
"67",0,1,0,0,0,0,0,0,0,2
"68",0,1,0,0,0,0,0,0,0,1
"69",0,1,0,0,0,0,0,0,0,14
"70",0,1,0,0,0,0,0,0,0,8
"71",0,1,0,0,0,0,0,0,0,3
"72",0,1,0,0,0,0,0,0,0,6
"73",0,1,0,0,0,0,0,0,0,3
"74",0,1,0,0,0,0,0,0,0,1
"75",0,1,0,0,0,0,0,0,0,3
"76",0,1,0,0,0,0,0,0,0,12
"77",0,1,0,0,0,0,0,0,0,9
"78",0,1,0,0,0,0,0,0,0,60
"79",0,1,0,0,0,0,0,0,0,4
"80",0,1,0,0,0,0,0,0,0,10
"81",0,1,0,0,0,0,0,0,0,3
"82",0,1,0,0,0,0,0,0,0,8
"83",0,1,0,0,0,0,0,0,0,46
"84",0,1,0,0,0,0,0,0,0,40
"85",0,1,0,0,0,0,0,0,0,19
"86",0,1,0,0,0,0,0,0,0,42
"87",0,1,0,0,0,0,0,0,0,27
"88",0,1,0,0,0,0,0,0,0,1
"89",0,1,0,0,0,0,0,0,0,73
"90",0,1,0,0,0,0,0,0,0,10
"91",0,1,0,0,0,0,0,0,0,15
"92",0,1,0,0,0,0,0,0,0,2
"93",0,1,0,0,0,0,0,0,0,3
"94",0,1,0,0,0,0,0,0,0,5
"95",0,1,0,0,0,0,0,0,0,3
"96",0,1,0,0,0,0,0,0,0,6
"97",0,1,0,0,0,0,0,0,0,6
"98",0,1,0,0,0,0,0,0,0,3
"99",0,1,0,0,0,0,0,0,0,9
"100",0,1,0,0,0,0,0,0,0,3
"101",0,1,0,0,0,0,0,0,0,24
"102",0,1,0,0,0,0,0,0,0,85
"103",0,1,0,0,0,0,0,0,0,1
"104",0,1,0,0,0,0,0,0,0,5
"105",0,1,0,0,0,0,0,0,0,85
"106",0,1,0,0,0,0,0,0,0,1
"107",0,1,0,0,0,0,0,0,0,20
"108",0,1,0,0,0,0,0,0,0,4
"109",0,1,0,0,0,0,0,0,0,2
"110",0,1,0,0,0,0,0,0,0,4
"111",0,1,0,0,0,0,0,0,0,15
"112",0,1,0,0,0,0,0,0,0,9
"113",0,1,0,0,0,0,0,0,0,7
"114",0,1,0,0,0,0,0,0,0,85
"115",0,1,0,0,0,0,0,0,0,1
"116",0,1,0,0,0,0,0,0,0,1
"117",0,1,0,0,0,0,0,0,0,4
"118",0,1,0,0,0,0,0,0,0,8
"119",0,1,0,0,0,0,0,0,0,11
"120",0,1,0,0,0,0,0,0,0,6
"121",0,1,0,0,0,0,0,0,0,6
"122",0,1,0,0,0,0,0,0,0,5
"123",0,1,0,0,0,0,0,0,0,3
"124",0,1,0,0,0,0,0,0,0,20
"125",0,1,0,0,0,0,0,0,0,7
"126",0,1,0,0,0,0,0,0,0,10
"127",0,1,0,0,0,0,0,0,0,2
"128",0,1,0,0,0,0,0,0,0,14
"129",0,1,0,0,0,0,0,0,0,14
"130",0,1,0,0,0,0,0,0,0,40
"131",0,1,0,0,0,0,0,0,0,3
"132",0,1,0,0,0,0,0,0,0,2
"133",0,1,0,0,0,0,0,0,0,9
"134",0,1,0,0,0,0,0,0,0,28
"135",0,1,0,0,0,0,0,0,0,180
"136",0,1,0,0,0,0,0,0,0,75
"137",0,1,0,0,0,0,0,0,0,7
"138",0,1,0,0,0,0,0,0,0,3
"139",0,1,0,0,0,0,0,0,0,20
"140",0,1,0,0,0,0,0,0,0,2
"141",0,1,0,0,0,0,0,0,0,15
"142",0,1,0,0,0,0,0,0,0,4
"143",0,1,0,0,0,0,0,0,0,12
"144",0,1,0,0,0,0,0,0,0,5
"145",0,1,0,0,0,0,0,0,0,45
"146",0,1,0,0,0,0,0,0,0,2
"147",0,1,0,0,0,0,0,0,0,4
"148",0,1,0,0,0,0,0,0,0,3
"149",0,1,0,0,0,0,0,0,0,7
"150",0,1,0,0,0,0,0,0,0,5
"151",0,0,1,0,0,0,0,0,0,47
"152",0,0,1,0,0,0,0,0,0,10
"153",0,0,1,0,0,0,0,0,0,16
"154",0,0,1,0,0,0,0,0,0,21
"155",0,0,1,0,0,0,0,0,0,3
"156",0,0,1,0,0,0,0,0,0,39
"157",0,0,1,0,0,0,0,0,0,2
"158",0,0,1,0,0,0,0,0,0,1
"159",0,0,1,0,0,0,0,0,0,16
"160",0,0,1,0,0,0,0,0,0,4
"161",0,0,1,0,0,0,0,0,0,3
"162",0,0,1,0,0,0,0,0,0,14
"163",0,0,1,0,0,0,0,0,0,3
"164",0,0,1,0,0,0,0,0,0,18
"165",0,0,1,0,0,0,0,0,0,9
"166",0,0,1,0,0,0,0,0,0,6
"167",0,0,1,0,0,0,0,0,0,5
"168",0,0,1,0,0,0,0,0,0,9
"169",0,0,1,0,0,0,0,0,0,8
"170",0,0,1,0,0,0,0,0,0,39
"171",0,0,1,0,0,0,0,0,0,47
"172",0,0,1,0,0,0,0,0,0,10
"173",0,0,1,0,0,0,0,0,0,9
"174",0,0,1,0,0,0,0,0,0,7
"175",0,0,1,0,0,0,0,0,0,6
"176",0,0,1,0,0,0,0,0,0,2
"177",0,0,1,0,0,0,0,0,0,4
"178",0,0,1,0,0,0,0,0,0,4
"179",0,0,1,0,0,0,0,0,0,21
"180",0,0,1,0,0,0,0,0,0,13
"181",0,0,1,0,0,0,0,0,0,26
"182",0,0,1,0,0,0,0,0,0,4
"183",0,0,1,0,0,0,0,0,0,5
"184",0,0,1,0,0,0,0,0,0,5
"185",0,0,1,0,0,0,0,0,0,10
"186",0,0,1,0,0,0,0,0,0,5
"187",0,0,1,0,0,0,0,0,0,11
"188",0,0,1,0,0,0,0,0,0,9
"189",0,0,1,0,0,0,0,0,0,2
"190",0,0,1,0,0,0,0,0,0,2
"191",0,0,1,0,0,0,0,0,0,1
"192",0,0,1,0,0,0,0,0,0,5
"193",0,0,1,0,0,0,0,0,0,6
"194",0,0,1,0,0,0,0,0,0,6
"195",0,0,1,0,0,0,0,0,0,6
"196",0,0,1,0,0,0,0,0,0,11
"197",0,0,1,0,0,0,0,0,0,5
"198",0,0,1,0,0,0,0,0,0,44
"199",0,0,1,0,0,0,0,0,0,5
"200",0,0,1,0,0,0,0,0,0,16
"201",0,0,1,0,0,0,0,0,0,4
"202",0,0,1,0,0,0,0,0,0,3
"203",0,0,1,0,0,0,0,0,0,14
"204",0,0,1,0,0,0,0,0,0,3
"205",0,0,1,0,0,0,0,0,0,18
"206",0,0,1,0,0,0,0,0,0,180
"207",0,0,1,0,0,0,0,0,0,1
"208",0,0,1,0,0,0,0,0,0,35
"209",0,0,1,0,0,0,0,0,0,35
"210",0,0,1,0,0,0,0,0,0,4
"211",0,0,1,0,0,0,0,0,0,47
"212",0,0,1,0,0,0,0,0,0,10
"213",0,0,1,0,0,0,0,0,0,23
"214",0,0,1,0,0,0,0,0,0,5
"215",0,0,1,0,0,0,0,0,0,5
"216",0,0,1,0,0,0,0,0,0,8
"217",0,0,1,0,0,0,0,0,0,9
"218",0,0,1,0,0,0,0,0,0,7
"219",0,0,1,0,0,0,0,0,0,6
"220",0,0,1,0,0,0,0,0,0,7
"221",0,0,1,0,0,0,0,0,0,12
"222",0,0,1,0,0,0,0,0,0,2
"223",0,0,1,0,0,0,0,0,0,4
"224",0,0,1,0,0,0,0,0,0,4
"225",0,0,1,0,0,0,0,0,0,21
"226",0,0,1,0,0,0,0,0,0,157
"227",0,0,1,0,0,0,0,0,0,5
"228",0,0,1,0,0,0,0,0,0,5
"229",0,0,1,0,0,0,0,0,0,4
"230",0,0,1,0,0,0,0,0,0,66
"231",0,0,1,0,0,0,0,0,0,2
"232",0,0,1,0,0,0,0,0,0,51
"233",0,0,1,0,0,0,0,0,0,1
"234",0,0,1,0,0,0,0,0,0,2
"235",0,0,1,0,0,0,0,0,0,4
"236",0,0,1,0,0,0,0,0,0,13
"237",0,0,1,0,0,0,0,0,0,26
"238",0,0,1,0,0,0,0,0,0,6
"239",0,0,1,0,0,0,0,0,0,4
"240",0,0,1,0,0,0,0,0,0,5
"241",0,0,1,0,0,0,0,0,0,5
"242",0,0,1,0,0,0,0,0,0,10
"243",0,0,1,0,0,0,0,0,0,7
"244",0,0,1,0,0,0,0,0,0,4
"245",0,0,1,0,0,0,0,0,0,5
"246",0,0,1,0,0,0,0,0,0,6
"247",0,0,1,0,0,0,0,0,0,16
"248",0,0,1,0,0,0,0,0,0,5
"249",0,0,1,0,0,0,0,0,0,11
"250",0,0,1,0,0,0,0,0,0,56
"251",0,0,1,0,0,0,0,0,0,5
"252",0,0,1,0,0,0,0,0,0,3
"253",0,0,1,0,0,0,0,0,0,9
"254",0,0,1,0,0,0,0,0,0,11
"255",0,0,1,0,0,0,0,0,0,4
"256",0,0,1,0,0,0,0,0,0,2
"257",0,0,1,0,0,0,0,0,0,7
"258",0,0,1,0,0,0,0,0,0,7
"259",0,0,1,0,0,0,0,0,0,2
"260",0,0,1,0,0,0,0,0,0,10
"261",0,0,1,0,0,0,0,0,0,2
"262",0,0,1,0,0,0,0,0,0,1
"263",0,0,1,0,0,0,0,0,0,26
"264",0,0,1,0,0,0,0,0,0,5
"265",0,0,1,0,0,0,0,0,0,6
"266",0,0,1,0,0,0,0,0,0,6
"267",0,0,1,0,0,0,0,0,0,6
"268",0,0,1,0,0,0,0,0,0,18
"269",0,0,1,0,0,0,0,0,0,11
"270",0,0,1,0,0,0,0,0,0,5
"271",0,0,1,0,0,0,0,0,0,14
"272",0,0,1,0,0,0,0,0,0,44
"273",0,0,1,0,0,0,0,0,0,5
"274",0,0,1,0,0,0,0,0,0,25
"275",0,0,1,0,0,0,0,0,0,150
"276",0,0,1,0,0,0,0,0,0,9
"277",0,0,1,0,0,0,0,0,0,14
"278",0,0,1,0,0,0,0,0,0,44
"279",0,0,1,0,0,0,0,0,0,6
"280",0,0,1,0,0,0,0,0,0,4
"281",0,0,1,0,0,0,0,0,0,2
