"","Containers, furniture, and fixtures","Machinery","Firearms, law enforcement, and other self-defense equipment","Tools, instruments, and equipment","Highway vehicle, motorized","Vehicles","Ice, sleet, snow","Liquids-nonchemical","all other","value"
"1",1,0,0,0,0,0,0,0,0,15
"2",1,0,0,0,0,0,0,0,0,6
"3",1,0,0,0,0,0,0,0,0,23
"4",1,0,0,0,0,0,0,0,0,2
"5",1,0,0,0,0,0,0,0,0,2
"6",1,0,0,0,0,0,0,0,0,5
"7",1,0,0,0,0,0,0,0,0,7
"8",1,0,0,0,0,0,0,0,0,14
"9",1,0,0,0,0,0,0,0,0,15
"10",1,0,0,0,0,0,0,0,0,25
"11",1,0,0,0,0,0,0,0,0,15
"12",1,0,0,0,0,0,0,0,0,6
"13",1,0,0,0,0,0,0,0,0,12
"14",1,0,0,0,0,0,0,0,0,6
"15",1,0,0,0,0,0,0,0,0,6
"16",1,0,0,0,0,0,0,0,0,55
"17",1,0,0,0,0,0,0,0,0,5
"18",1,0,0,0,0,0,0,0,0,7
"19",1,0,0,0,0,0,0,0,0,10
"20",1,0,0,0,0,0,0,0,0,12
"21",1,0,0,0,0,0,0,0,0,83
"22",1,0,0,0,0,0,0,0,0,23
"23",1,0,0,0,0,0,0,0,0,2
"24",1,0,0,0,0,0,0,0,0,2
"25",1,0,0,0,0,0,0,0,0,11
"26",1,0,0,0,0,0,0,0,0,180
"27",1,0,0,0,0,0,0,0,0,40
"28",1,0,0,0,0,0,0,0,0,15
"29",1,0,0,0,0,0,0,0,0,18
"30",1,0,0,0,0,0,0,0,0,15
"31",1,0,0,0,0,0,0,0,0,6
"32",1,0,0,0,0,0,0,0,0,6
"33",1,0,0,0,0,0,0,0,0,10
"34",1,0,0,0,0,0,0,0,0,18
"35",1,0,0,0,0,0,0,0,0,10
"36",1,0,0,0,0,0,0,0,0,9
"37",1,0,0,0,0,0,0,0,0,51
"38",1,0,0,0,0,0,0,0,0,5
"39",1,0,0,0,0,0,0,0,0,12
