"","Chemical, chemical products","Containers","Furniture, fixtures","Machinery","Parts and materials","Person, injured or ill worker","Person, other than injured or ill workers","Worker motion or position","Floors, walkways, ground surfaces","Ladder","Handtools","Trucks","Cart, dolly, hand truck-nonpowered","Vehicles","all other","value"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"32",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"35",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"37",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"38",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"40",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"41",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"46",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
