"","12AM-4AM"," 4AM-8AM","8AM-12PM","12PM-4PM","4PM-8PM","8PM-12AM","value"
"1",1,0,0,0,0,0,41
"2",1,0,0,0,0,0,3
"3",1,0,0,0,0,0,21
"4",1,0,0,0,0,0,4
"5",1,0,0,0,0,0,11
"6",1,0,0,0,0,0,7
"7",1,0,0,0,0,0,7
"8",1,0,0,0,0,0,17
"9",1,0,0,0,0,0,39
"10",1,0,0,0,0,0,6
"11",1,0,0,0,0,0,20
"12",1,0,0,0,0,0,9
"13",1,0,0,0,0,0,42
"14",1,0,0,0,0,0,41
"15",1,0,0,0,0,0,3
"16",1,0,0,0,0,0,9
"17",1,0,0,0,0,0,11
"18",1,0,0,0,0,0,7
"19",1,0,0,0,0,0,7
"20",1,0,0,0,0,0,10
"21",1,0,0,0,0,0,19
"22",1,0,0,0,0,0,20
"23",1,0,0,0,0,0,9
"24",1,0,0,0,0,0,42
"25",1,0,0,0,0,0,85
"26",1,0,0,0,0,0,21
"27",1,0,0,0,0,0,4
"28",1,0,0,0,0,0,3
"29",1,0,0,0,0,0,59
"30",1,0,0,0,0,0,4
"31",1,0,0,0,0,0,40
"32",1,0,0,0,0,0,71
"33",1,0,0,0,0,0,3
"34",1,0,0,0,0,0,9
"35",1,0,0,0,0,0,31
"36",1,0,0,0,0,0,9
"37",1,0,0,0,0,0,17
"38",1,0,0,0,0,0,6
"39",1,0,0,0,0,0,5
"40",1,0,0,0,0,0,1
"41",1,0,0,0,0,0,5
"42",1,0,0,0,0,0,11
"43",1,0,0,0,0,0,4
"44",1,0,0,0,0,0,1
"45",1,0,0,0,0,0,7
"46",1,0,0,0,0,0,7
"47",1,0,0,0,0,0,10
"48",1,0,0,0,0,0,19
"49",1,0,0,0,0,0,6
"50",1,0,0,0,0,0,20
"51",1,0,0,0,0,0,9
"52",1,0,0,0,0,0,29
"53",1,0,0,0,0,0,42
"54",1,0,0,0,0,0,73
"55",1,0,0,0,0,0,26
"56",1,0,0,0,0,0,31
"57",1,0,0,0,0,0,8
"58",1,0,0,0,0,0,17
"59",1,0,0,0,0,0,3
"60",1,0,0,0,0,0,1
"61",1,0,0,0,0,0,3
"62",1,0,0,0,0,0,85
"63",1,0,0,0,0,0,21
"64",1,0,0,0,0,0,4
"65",1,0,0,0,0,0,119
"66",1,0,0,0,0,0,5
"67",1,0,0,0,0,0,32
"68",1,0,0,0,0,0,10
"69",1,0,0,0,0,0,14
"70",1,0,0,0,0,0,35
"71",1,0,0,0,0,0,24
"72",1,0,0,0,0,0,3
"73",1,0,0,0,0,0,36
"74",1,0,0,0,0,0,10
"75",1,0,0,0,0,0,4
"76",1,0,0,0,0,0,10
"77",1,0,0,0,0,0,4
"78",1,0,0,0,0,0,20
"79",1,0,0,0,0,0,4
"80",1,0,0,0,0,0,2
"81",1,0,0,0,0,0,54
"82",1,0,0,0,0,0,1
"83",1,0,0,0,0,0,7
"84",1,0,0,0,0,0,4
