"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"1",1,0,0,0,0,0,0,6
"2",1,0,0,0,0,0,0,20
"3",1,0,0,0,0,0,0,68
"4",1,0,0,0,0,0,0,33
"5",1,0,0,0,0,0,0,3
"6",1,0,0,0,0,0,0,4
"7",1,0,0,0,0,0,0,5
"8",1,0,0,0,0,0,0,2
"9",1,0,0,0,0,0,0,4
"10",1,0,0,0,0,0,0,3
"11",1,0,0,0,0,0,0,5
"12",1,0,0,0,0,0,0,2
"13",1,0,0,0,0,0,0,2
"14",1,0,0,0,0,0,0,1
"15",1,0,0,0,0,0,0,4
"16",1,0,0,0,0,0,0,1
"17",1,0,0,0,0,0,0,4
"18",1,0,0,0,0,0,0,4
"19",1,0,0,0,0,0,0,2
"20",1,0,0,0,0,0,0,3
"21",1,0,0,0,0,0,0,14
"22",1,0,0,0,0,0,0,4
"23",1,0,0,0,0,0,0,2
"24",1,0,0,0,0,0,0,2
"25",1,0,0,0,0,0,0,4
"26",1,0,0,0,0,0,0,2
"27",1,0,0,0,0,0,0,28
"28",1,0,0,0,0,0,0,4
"29",1,0,0,0,0,0,0,2
"30",1,0,0,0,0,0,0,3
"31",1,0,0,0,0,0,0,14
"32",1,0,0,0,0,0,0,2
"33",1,0,0,0,0,0,0,24
"34",1,0,0,0,0,0,0,3
"35",1,0,0,0,0,0,0,3
"36",1,0,0,0,0,0,0,3
"37",1,0,0,0,0,0,0,4
"38",1,0,0,0,0,0,0,4
"39",1,0,0,0,0,0,0,5
"40",1,0,0,0,0,0,0,3
"41",1,0,0,0,0,0,0,3
"42",1,0,0,0,0,0,0,4
"43",1,0,0,0,0,0,0,2
"44",1,0,0,0,0,0,0,2
"45",1,0,0,0,0,0,0,8
"46",1,0,0,0,0,0,0,3
"47",1,0,0,0,0,0,0,3
"48",1,0,0,0,0,0,0,2
"49",1,0,0,0,0,0,0,1
"50",1,0,0,0,0,0,0,2
"51",0,1,0,0,0,0,0,4
"52",0,1,0,0,0,0,0,5
"53",0,1,0,0,0,0,0,24
"54",0,1,0,0,0,0,0,9
"55",0,1,0,0,0,0,0,6
"56",0,1,0,0,0,0,0,4
"57",0,1,0,0,0,0,0,1
"58",0,1,0,0,0,0,0,5
"59",0,1,0,0,0,0,0,6
"60",0,1,0,0,0,0,0,2
"61",0,1,0,0,0,0,0,3
"62",0,1,0,0,0,0,0,3
"63",0,1,0,0,0,0,0,7
"64",0,1,0,0,0,0,0,3
"65",0,1,0,0,0,0,0,3
"66",0,1,0,0,0,0,0,2
"67",0,1,0,0,0,0,0,2
"68",0,1,0,0,0,0,0,4
"69",0,1,0,0,0,0,0,6
"70",0,1,0,0,0,0,0,12
"71",0,1,0,0,0,0,0,6
"72",0,1,0,0,0,0,0,9
"73",0,1,0,0,0,0,0,6
"74",0,1,0,0,0,0,0,41
"75",0,1,0,0,0,0,0,2
"76",0,1,0,0,0,0,0,7
"77",0,1,0,0,0,0,0,2
"78",0,1,0,0,0,0,0,5
"79",0,1,0,0,0,0,0,15
"80",0,1,0,0,0,0,0,2
"81",0,1,0,0,0,0,0,3
"82",0,1,0,0,0,0,0,34
"83",0,1,0,0,0,0,0,1
"84",0,1,0,0,0,0,0,1
"85",0,1,0,0,0,0,0,5
"86",0,1,0,0,0,0,0,5
"87",0,1,0,0,0,0,0,7
"88",0,1,0,0,0,0,0,35
"89",0,1,0,0,0,0,0,8
"90",0,1,0,0,0,0,0,7
"91",0,1,0,0,0,0,0,3
"92",0,1,0,0,0,0,0,5
"93",0,1,0,0,0,0,0,5
"94",0,1,0,0,0,0,0,6
"95",0,1,0,0,0,0,0,2
"96",0,1,0,0,0,0,0,2
"97",0,1,0,0,0,0,0,1
"98",0,1,0,0,0,0,0,8
"99",0,1,0,0,0,0,0,7
"100",0,1,0,0,0,0,0,5
"101",0,1,0,0,0,0,0,2
"102",0,1,0,0,0,0,0,3
"103",0,1,0,0,0,0,0,4
"104",0,1,0,0,0,0,0,2
"105",0,1,0,0,0,0,0,4
"106",0,1,0,0,0,0,0,5
"107",0,1,0,0,0,0,0,4
"108",0,1,0,0,0,0,0,2
"109",0,1,0,0,0,0,0,7
"110",0,1,0,0,0,0,0,4
"111",0,1,0,0,0,0,0,6
"112",0,1,0,0,0,0,0,7
"113",0,1,0,0,0,0,0,2
"114",0,1,0,0,0,0,0,2
"115",0,1,0,0,0,0,0,2
"116",0,1,0,0,0,0,0,5
"117",0,1,0,0,0,0,0,3
"118",0,1,0,0,0,0,0,4
"119",0,1,0,0,0,0,0,4
"120",0,1,0,0,0,0,0,2
"121",0,1,0,0,0,0,0,4
"122",0,0,1,0,0,0,0,15
"123",0,0,1,0,0,0,0,2
"124",0,0,1,0,0,0,0,2
"125",0,0,1,0,0,0,0,2
"126",0,0,1,0,0,0,0,18
"127",0,0,1,0,0,0,0,5
"128",0,0,1,0,0,0,0,10
"129",0,0,1,0,0,0,0,42
"130",0,0,1,0,0,0,0,2
"131",0,0,1,0,0,0,0,4
"132",0,0,1,0,0,0,0,6
"133",0,0,1,0,0,0,0,10
"134",0,0,1,0,0,0,0,12
"135",0,0,1,0,0,0,0,7
"136",0,0,1,0,0,0,0,3
"137",0,0,1,0,0,0,0,5
"138",0,0,1,0,0,0,0,5
"139",0,0,1,0,0,0,0,4
"140",0,0,1,0,0,0,0,27
"141",0,0,1,0,0,0,0,1
"142",0,0,1,0,0,0,0,2
"143",0,0,1,0,0,0,0,3
"144",0,0,1,0,0,0,0,4
"145",0,0,1,0,0,0,0,8
"146",0,0,1,0,0,0,0,3
"147",0,0,1,0,0,0,0,3
"148",0,0,1,0,0,0,0,8
"149",0,0,1,0,0,0,0,9
"150",0,0,1,0,0,0,0,5
"151",0,0,1,0,0,0,0,5
"152",0,0,1,0,0,0,0,2
"153",0,0,1,0,0,0,0,4
"154",0,0,1,0,0,0,0,3
"155",0,0,1,0,0,0,0,7
"156",0,0,1,0,0,0,0,4
"157",0,0,1,0,0,0,0,4
"158",0,0,1,0,0,0,0,2
"159",0,0,1,0,0,0,0,5
"160",0,0,1,0,0,0,0,4
"161",0,0,1,0,0,0,0,12
"162",0,0,1,0,0,0,0,4
"163",0,0,1,0,0,0,0,42
"164",0,0,1,0,0,0,0,2
"165",0,0,1,0,0,0,0,8
"166",0,0,1,0,0,0,0,2
"167",0,0,1,0,0,0,0,9
"168",0,0,1,0,0,0,0,10
"169",0,0,1,0,0,0,0,4
"170",0,0,1,0,0,0,0,6
"171",0,0,1,0,0,0,0,59
"172",0,0,1,0,0,0,0,7
"173",0,0,1,0,0,0,0,14
"174",0,0,1,0,0,0,0,4
"175",0,0,1,0,0,0,0,5
"176",0,0,1,0,0,0,0,2
"177",0,0,1,0,0,0,0,7
"178",0,0,1,0,0,0,0,2
"179",0,0,1,0,0,0,0,10
"180",0,0,1,0,0,0,0,14
"181",0,0,1,0,0,0,0,7
"182",0,0,1,0,0,0,0,4
"183",0,0,1,0,0,0,0,7
"184",0,0,1,0,0,0,0,4
"185",0,0,1,0,0,0,0,6
"186",0,0,1,0,0,0,0,30
"187",0,0,1,0,0,0,0,2
"188",0,0,1,0,0,0,0,5
"189",0,0,1,0,0,0,0,7
"190",0,0,1,0,0,0,0,7
"191",0,0,1,0,0,0,0,2
"192",0,0,1,0,0,0,0,10
"193",0,0,1,0,0,0,0,120
"194",0,0,1,0,0,0,0,12
"195",0,0,1,0,0,0,0,4
"196",0,0,1,0,0,0,0,3
"197",0,0,1,0,0,0,0,5
"198",0,0,1,0,0,0,0,5
"199",0,0,1,0,0,0,0,3
"200",0,0,1,0,0,0,0,5
"201",0,0,1,0,0,0,0,3
"202",0,0,0,1,0,0,0,7
"203",0,0,0,1,0,0,0,3
"204",0,0,0,1,0,0,0,1
"205",0,0,0,1,0,0,0,12
"206",0,0,0,1,0,0,0,14
"207",0,0,0,1,0,0,0,9
"208",0,0,0,1,0,0,0,20
"209",0,0,0,1,0,0,0,3
"210",0,0,0,1,0,0,0,7
"211",0,0,0,1,0,0,0,4
"212",0,0,0,1,0,0,0,7
"213",0,0,0,1,0,0,0,13
"214",0,0,0,1,0,0,0,2
"215",0,0,0,1,0,0,0,4
"216",0,0,0,1,0,0,0,7
"217",0,0,0,1,0,0,0,6
"218",0,0,0,1,0,0,0,10
"219",0,0,0,1,0,0,0,27
"220",0,0,0,1,0,0,0,1
"221",0,0,0,1,0,0,0,2
"222",0,0,0,1,0,0,0,33
"223",0,0,0,1,0,0,0,3
"224",0,0,0,1,0,0,0,5
"225",0,0,0,1,0,0,0,3
"226",0,0,0,1,0,0,0,3
"227",0,0,0,1,0,0,0,8
"228",0,0,0,1,0,0,0,3
"229",0,0,0,1,0,0,0,8
"230",0,0,0,1,0,0,0,1
"231",0,0,0,1,0,0,0,1
"232",0,0,0,1,0,0,0,20
