"","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","value"
"1",1,0,0,0,0,0,0,10
"2",1,0,0,0,0,0,0,7
"3",1,0,0,0,0,0,0,1
"4",1,0,0,0,0,0,0,38
"5",1,0,0,0,0,0,0,8
"6",1,0,0,0,0,0,0,13
"7",1,0,0,0,0,0,0,5
"8",1,0,0,0,0,0,0,11
"9",1,0,0,0,0,0,0,2
"10",1,0,0,0,0,0,0,3
"11",1,0,0,0,0,0,0,2
"12",1,0,0,0,0,0,0,22
"13",1,0,0,0,0,0,0,1
"14",1,0,0,0,0,0,0,5
"15",1,0,0,0,0,0,0,3
"16",1,0,0,0,0,0,0,6
"17",1,0,0,0,0,0,0,7
"18",1,0,0,0,0,0,0,3
"19",1,0,0,0,0,0,0,3
"20",1,0,0,0,0,0,0,2
"21",1,0,0,0,0,0,0,150
"22",1,0,0,0,0,0,0,6
"23",1,0,0,0,0,0,0,8
"24",1,0,0,0,0,0,0,6
"25",1,0,0,0,0,0,0,8
"26",1,0,0,0,0,0,0,7
"27",1,0,0,0,0,0,0,6
"28",1,0,0,0,0,0,0,19
"29",1,0,0,0,0,0,0,8
"30",1,0,0,0,0,0,0,2
"31",1,0,0,0,0,0,0,25
"32",1,0,0,0,0,0,0,14
"33",1,0,0,0,0,0,0,2
"34",1,0,0,0,0,0,0,10
"35",1,0,0,0,0,0,0,7
"36",1,0,0,0,0,0,0,1
"37",1,0,0,0,0,0,0,36
"38",1,0,0,0,0,0,0,10
"39",1,0,0,0,0,0,0,8
"40",1,0,0,0,0,0,0,8
"41",1,0,0,0,0,0,0,8
"42",1,0,0,0,0,0,0,28
"43",1,0,0,0,0,0,0,6
"44",1,0,0,0,0,0,0,3
"45",1,0,0,0,0,0,0,3
"46",1,0,0,0,0,0,0,13
"47",1,0,0,0,0,0,0,10
"48",1,0,0,0,0,0,0,13
"49",1,0,0,0,0,0,0,13
"50",1,0,0,0,0,0,0,5
"51",1,0,0,0,0,0,0,2
"52",1,0,0,0,0,0,0,3
"53",1,0,0,0,0,0,0,11
"54",1,0,0,0,0,0,0,4
"55",1,0,0,0,0,0,0,8
"56",1,0,0,0,0,0,0,51
"57",1,0,0,0,0,0,0,3
"58",1,0,0,0,0,0,0,3
"59",1,0,0,0,0,0,0,5
"60",1,0,0,0,0,0,0,8
"61",1,0,0,0,0,0,0,6
"62",1,0,0,0,0,0,0,8
"63",1,0,0,0,0,0,0,8
"64",1,0,0,0,0,0,0,7
"65",1,0,0,0,0,0,0,3
"66",1,0,0,0,0,0,0,3
"67",1,0,0,0,0,0,0,24
"68",1,0,0,0,0,0,0,7
"69",1,0,0,0,0,0,0,7
"70",1,0,0,0,0,0,0,12
"71",1,0,0,0,0,0,0,20
"72",1,0,0,0,0,0,0,1
"73",1,0,0,0,0,0,0,5
"74",1,0,0,0,0,0,0,3
"75",1,0,0,0,0,0,0,6
"76",1,0,0,0,0,0,0,7
"77",1,0,0,0,0,0,0,4
"78",1,0,0,0,0,0,0,11
"79",1,0,0,0,0,0,0,3
"80",1,0,0,0,0,0,0,3
"81",1,0,0,0,0,0,0,2
"82",1,0,0,0,0,0,0,150
"83",1,0,0,0,0,0,0,8
"84",1,0,0,0,0,0,0,4
"85",1,0,0,0,0,0,0,3
"86",1,0,0,0,0,0,0,5
"87",1,0,0,0,0,0,0,10
"88",1,0,0,0,0,0,0,10
"89",1,0,0,0,0,0,0,4
"90",1,0,0,0,0,0,0,45
"91",1,0,0,0,0,0,0,8
"92",1,0,0,0,0,0,0,7
"93",1,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,2
"95",1,0,0,0,0,0,0,14
"96",1,0,0,0,0,0,0,15
"97",1,0,0,0,0,0,0,36
"98",1,0,0,0,0,0,0,10
"99",1,0,0,0,0,0,0,11
"100",1,0,0,0,0,0,0,10
"101",1,0,0,0,0,0,0,58
"102",1,0,0,0,0,0,0,8
"103",1,0,0,0,0,0,0,8
"104",1,0,0,0,0,0,0,8
"105",1,0,0,0,0,0,0,5
"106",1,0,0,0,0,0,0,8
"107",1,0,0,0,0,0,0,28
"108",1,0,0,0,0,0,0,6
"109",1,0,0,0,0,0,0,3
"110",1,0,0,0,0,0,0,2
"111",1,0,0,0,0,0,0,8
"112",1,0,0,0,0,0,0,10
"113",1,0,0,0,0,0,0,9
"114",1,0,0,0,0,0,0,9
"115",1,0,0,0,0,0,0,11
"116",1,0,0,0,0,0,0,34
"117",1,0,0,0,0,0,0,8
"118",1,0,0,0,0,0,0,7
"119",1,0,0,0,0,0,0,9
"120",1,0,0,0,0,0,0,27
"121",1,0,0,0,0,0,0,21
"122",1,0,0,0,0,0,0,3
"123",1,0,0,0,0,0,0,7
"124",1,0,0,0,0,0,0,13
"125",1,0,0,0,0,0,0,10
"126",1,0,0,0,0,0,0,14
"127",1,0,0,0,0,0,0,13
"128",1,0,0,0,0,0,0,5
"129",1,0,0,0,0,0,0,13
"130",1,0,0,0,0,0,0,5
"131",1,0,0,0,0,0,0,2
"132",1,0,0,0,0,0,0,8
"133",1,0,0,0,0,0,0,3
"134",1,0,0,0,0,0,0,60
"135",1,0,0,0,0,0,0,5
"136",1,0,0,0,0,0,0,7
"137",1,0,0,0,0,0,0,6
"138",1,0,0,0,0,0,0,11
"139",1,0,0,0,0,0,0,4
"140",1,0,0,0,0,0,0,56
"141",1,0,0,0,0,0,0,12
"142",1,0,0,0,0,0,0,7
"143",1,0,0,0,0,0,0,8
"144",1,0,0,0,0,0,0,5
"145",1,0,0,0,0,0,0,1
"146",1,0,0,0,0,0,0,2
"147",1,0,0,0,0,0,0,2
"148",1,0,0,0,0,0,0,43
"149",1,0,0,0,0,0,0,51
"150",1,0,0,0,0,0,0,1
"151",1,0,0,0,0,0,0,3
"152",1,0,0,0,0,0,0,3
"153",1,0,0,0,0,0,0,11
"154",1,0,0,0,0,0,0,5
"155",1,0,0,0,0,0,0,8
"156",1,0,0,0,0,0,0,6
"157",1,0,0,0,0,0,0,8
"158",1,0,0,0,0,0,0,22
"159",1,0,0,0,0,0,0,8
"160",1,0,0,0,0,0,0,7
"161",1,0,0,0,0,0,0,20
"162",1,0,0,0,0,0,0,3
"163",1,0,0,0,0,0,0,3
"164",1,0,0,0,0,0,0,9
"165",1,0,0,0,0,0,0,5
"166",1,0,0,0,0,0,0,16
"167",1,0,0,0,0,0,0,16
"168",1,0,0,0,0,0,0,10
"169",1,0,0,0,0,0,0,48
"170",1,0,0,0,0,0,0,14
"171",1,0,0,0,0,0,0,21
"172",1,0,0,0,0,0,0,2
"173",1,0,0,0,0,0,0,35
"174",1,0,0,0,0,0,0,3
"175",1,0,0,0,0,0,0,5
"176",1,0,0,0,0,0,0,3
"177",1,0,0,0,0,0,0,3
"178",1,0,0,0,0,0,0,4
"179",1,0,0,0,0,0,0,36
"180",1,0,0,0,0,0,0,7
"181",1,0,0,0,0,0,0,1
"182",1,0,0,0,0,0,0,10
"183",1,0,0,0,0,0,0,24
"184",1,0,0,0,0,0,0,7
"185",1,0,0,0,0,0,0,7
"186",1,0,0,0,0,0,0,12
"187",1,0,0,0,0,0,0,20
"188",1,0,0,0,0,0,0,20
"189",1,0,0,0,0,0,0,3
"190",1,0,0,0,0,0,0,150
"191",1,0,0,0,0,0,0,6
"192",1,0,0,0,0,0,0,9
"193",1,0,0,0,0,0,0,1
"194",1,0,0,0,0,0,0,14
"195",1,0,0,0,0,0,0,3
"196",1,0,0,0,0,0,0,6
"197",1,0,0,0,0,0,0,7
"198",1,0,0,0,0,0,0,1
"199",1,0,0,0,0,0,0,4
"200",1,0,0,0,0,0,0,5
"201",1,0,0,0,0,0,0,17
"202",1,0,0,0,0,0,0,4
"203",1,0,0,0,0,0,0,17
"204",1,0,0,0,0,0,0,6
"205",1,0,0,0,0,0,0,2
"206",1,0,0,0,0,0,0,4
"207",1,0,0,0,0,0,0,9
"208",1,0,0,0,0,0,0,17
"209",1,0,0,0,0,0,0,5
"210",1,0,0,0,0,0,0,4
"211",1,0,0,0,0,0,0,35
"212",1,0,0,0,0,0,0,7
"213",1,0,0,0,0,0,0,2
"214",1,0,0,0,0,0,0,2
"215",1,0,0,0,0,0,0,6
"216",1,0,0,0,0,0,0,7
"217",1,0,0,0,0,0,0,6
"218",1,0,0,0,0,0,0,3
"219",1,0,0,0,0,0,0,5
"220",1,0,0,0,0,0,0,4
"221",1,0,0,0,0,0,0,7
"222",1,0,0,0,0,0,0,3
"223",1,0,0,0,0,0,0,3
"224",1,0,0,0,0,0,0,2
"225",1,0,0,0,0,0,0,14
"226",1,0,0,0,0,0,0,150
"227",1,0,0,0,0,0,0,12
"228",1,0,0,0,0,0,0,8
"229",1,0,0,0,0,0,0,4
"230",1,0,0,0,0,0,0,3
"231",1,0,0,0,0,0,0,5
"232",1,0,0,0,0,0,0,6
"233",1,0,0,0,0,0,0,1
"234",1,0,0,0,0,0,0,3
"235",1,0,0,0,0,0,0,91
"236",1,0,0,0,0,0,0,6
"237",1,0,0,0,0,0,0,3
"238",1,0,0,0,0,0,0,14
"239",1,0,0,0,0,0,0,5
"240",1,0,0,0,0,0,0,40
"241",1,0,0,0,0,0,0,36
"242",1,0,0,0,0,0,0,5
"243",1,0,0,0,0,0,0,4
"244",1,0,0,0,0,0,0,49
"245",1,0,0,0,0,0,0,15
"246",1,0,0,0,0,0,0,4
"247",1,0,0,0,0,0,0,11
"248",1,0,0,0,0,0,0,5
"249",1,0,0,0,0,0,0,3
"250",1,0,0,0,0,0,0,2
"251",1,0,0,0,0,0,0,42
"252",1,0,0,0,0,0,0,20
"253",1,0,0,0,0,0,0,2
"254",1,0,0,0,0,0,0,20
"255",1,0,0,0,0,0,0,2
"256",1,0,0,0,0,0,0,3
"257",1,0,0,0,0,0,0,36
"258",1,0,0,0,0,0,0,5
"259",1,0,0,0,0,0,0,30
"260",1,0,0,0,0,0,0,2
"261",1,0,0,0,0,0,0,3
"262",1,0,0,0,0,0,0,1
"263",1,0,0,0,0,0,0,9
"264",1,0,0,0,0,0,0,4
"265",1,0,0,0,0,0,0,80
"266",1,0,0,0,0,0,0,2
"267",1,0,0,0,0,0,0,7
"268",1,0,0,0,0,0,0,14
"269",1,0,0,0,0,0,0,7
"270",1,0,0,0,0,0,0,2
"271",1,0,0,0,0,0,0,8
"272",1,0,0,0,0,0,0,7
"273",1,0,0,0,0,0,0,2
"274",1,0,0,0,0,0,0,2
"275",1,0,0,0,0,0,0,4
"276",1,0,0,0,0,0,0,4
"277",1,0,0,0,0,0,0,1
"278",1,0,0,0,0,0,0,14
"279",1,0,0,0,0,0,0,12
"280",1,0,0,0,0,0,0,12
"281",1,0,0,0,0,0,0,30
"282",1,0,0,0,0,0,0,5
"283",1,0,0,0,0,0,0,30
"284",1,0,0,0,0,0,0,5
"285",1,0,0,0,0,0,0,1
"286",1,0,0,0,0,0,0,10
"287",1,0,0,0,0,0,0,5
"288",1,0,0,0,0,0,0,3
"289",1,0,0,0,0,0,0,11
"290",1,0,0,0,0,0,0,8
"291",1,0,0,0,0,0,0,2
"292",1,0,0,0,0,0,0,2
"293",1,0,0,0,0,0,0,10
"294",1,0,0,0,0,0,0,3
"295",1,0,0,0,0,0,0,4
"296",1,0,0,0,0,0,0,2
"297",1,0,0,0,0,0,0,3
"298",1,0,0,0,0,0,0,23
"299",1,0,0,0,0,0,0,1
"300",1,0,0,0,0,0,0,30
"301",1,0,0,0,0,0,0,1
"302",1,0,0,0,0,0,0,5
"303",1,0,0,0,0,0,0,4
"304",1,0,0,0,0,0,0,2
"305",1,0,0,0,0,0,0,95
"306",1,0,0,0,0,0,0,2
"307",1,0,0,0,0,0,0,3
"308",1,0,0,0,0,0,0,2
"309",1,0,0,0,0,0,0,1
"310",1,0,0,0,0,0,0,1
"311",1,0,0,0,0,0,0,5
"312",1,0,0,0,0,0,0,3
"313",1,0,0,0,0,0,0,2
"314",1,0,0,0,0,0,0,7
"315",1,0,0,0,0,0,0,3
"316",1,0,0,0,0,0,0,20
"317",1,0,0,0,0,0,0,5
"318",1,0,0,0,0,0,0,17
"319",1,0,0,0,0,0,0,3
"320",1,0,0,0,0,0,0,2
"321",1,0,0,0,0,0,0,4
"322",1,0,0,0,0,0,0,3
"323",1,0,0,0,0,0,0,2
"324",1,0,0,0,0,0,0,2
"325",1,0,0,0,0,0,0,3
"326",1,0,0,0,0,0,0,35
"327",1,0,0,0,0,0,0,5
"328",1,0,0,0,0,0,0,10
"329",1,0,0,0,0,0,0,4
"330",1,0,0,0,0,0,0,19
"331",1,0,0,0,0,0,0,11
"332",1,0,0,0,0,0,0,8
"333",1,0,0,0,0,0,0,3
"334",1,0,0,0,0,0,0,5
"335",1,0,0,0,0,0,0,3
"336",1,0,0,0,0,0,0,30
"337",1,0,0,0,0,0,0,2
"338",1,0,0,0,0,0,0,4
"339",1,0,0,0,0,0,0,2
"340",1,0,0,0,0,0,0,4
"341",1,0,0,0,0,0,0,3
"342",1,0,0,0,0,0,0,7
"343",1,0,0,0,0,0,0,2
"344",1,0,0,0,0,0,0,11
"345",1,0,0,0,0,0,0,7
"346",1,0,0,0,0,0,0,25
"347",1,0,0,0,0,0,0,10
"348",1,0,0,0,0,0,0,5
"349",1,0,0,0,0,0,0,6
"350",1,0,0,0,0,0,0,7
"351",1,0,0,0,0,0,0,5
"352",1,0,0,0,0,0,0,7
"353",1,0,0,0,0,0,0,7
"354",1,0,0,0,0,0,0,18
"355",1,0,0,0,0,0,0,4
"356",1,0,0,0,0,0,0,2
